household_key,BASKET_ID,coup_user,COUPON_UPC
1181,89,no,0
1182,124,no,0
1183,9,no,0
1184,13,no,0
1185,61,no,0
1186,79,no,0
1187,133,no,0
1188,149,no,0
1189,51,no,0
1190,253,no,0
1191,98,no,0
1192,100,no,0
1193,219,no,0
1194,62,no,0
1195,41,no,0
1196,27,no,0
1197,160,yes,21
1198,44,no,0
1199,7,no,0
1200,30,no,0
1201,38,no,0
1202,25,no,0
1203,173,no,0
1204,81,no,0
1205,186,no,0
1206,381,no,0
1207,108,no,0
1208,54,no,0
1209,23,no,0
1210,37,no,0
1211,168,no,0
1212,6,no,0
1213,46,no,0
1214,7,no,0
1215,15,no,0
1216,134,no,0
1217,54,no,0
1218,96,no,0
1219,121,no,0
1220,31,no,0
1221,15,no,0
1222,174,no,0
1223,57,no,0
1224,92,no,0
1225,76,no,0
1226,76,no,0
1227,86,no,0
1228,797,yes,6
1229,385,yes,6
1230,20,no,0
1231,55,no,0
1232,22,no,0
1233,38,no,0
1234,94,no,0
1235,20,no,0
1236,194,no,0
1237,20,no,0
1238,51,yes,2
1239,26,no,0
1240,217,no,0
1241,91,no,0
1242,35,no,0
1243,15,no,0
1244,34,no,0
1245,254,no,0
1246,97,no,0
1247,123,yes,4
1248,158,yes,1
1249,23,no,0
1250,6,no,0
1251,53,no,0
1252,46,no,0
1253,24,no,0
1254,6,no,0
1255,28,no,0
1256,170,yes,6
1257,31,no,0
1258,232,no,0
1259,33,no,0
1260,168,no,0
1261,228,yes,1
1262,29,no,0
1263,126,no,0
1264,132,no,0
1265,49,no,0
1266,115,no,0
1267,66,no,0
1268,71,no,0
1269,109,no,0
1270,73,no,0
1271,132,no,0
1272,258,no,0
1273,17,no,0
1274,273,no,0
1275,8,no,0
1276,20,no,0
1277,328,no,0
1278,19,no,0
1279,199,no,0
1280,24,no,0
1281,38,no,0
1282,203,no,0
1283,49,no,0
1284,160,no,0
1285,137,yes,1
1286,30,no,0
1287,159,yes,2
1288,55,no,0
1289,525,no,0
1290,34,no,0
1291,103,no,0
1292,27,no,0
1293,176,no,0
1294,56,yes,1
1295,68,no,0
1296,80,no,0
