Product,Coupon_Used,TransactionCount
COOKING OIL: PEANUT SAFFLOWER,no,67
COOKING OIL: PEANUT SAFFLOWER,yes,1
COOKING SPRAYS,no,240
CORN,no,1258
CORN BI-COLOR,no,46
CORN DOGS,no,4927
CORN DOGS,yes,2
CORN FRESH PACKAGED,no,1101
CORN WHITE,no,1178
CORN YELLOW,no,5406
CORN YELLOW,yes,3
CORNED BEEF,no,327
CORNISH HEN,no,591
CORPORATE DELETES (DO NOT USE,no,5
CORSAGES/BOUTONNIERES,no,54
COSMETIC BAGS,no,4
COTTAGE CHEESE,no,34418
COTTAGE CHEESE,yes,30
COTTON COTTON SWABS,no,1399
COTTON COTTON SWABS,yes,1
COTY FRAGRANCES,no,12
COUGH SYRP/LOZNG-DRP/XPCTRNT,no,3170
COUGH SYRP/LOZNG-DRP/XPCTRNT,yes,1
COUPONS/STORE & MFG,no,920
COUPONS/STORE & MFG,yes,3
COVERGIRL,no,3934
COVERGIRL,yes,9
CRACKERS,no,36
CRAFT BASICS,no,1
CRANAPPLE CRAN GRAPE JUICE (5,no,813
CRANAPPLE CRAN GRAPE JUICE (5,yes,5
CRANAPPLE CRAN GRAPE JUICE (O,no,485
CRANAPPLE CRAN GRAPE JUICE (O,yes,1
CRANBERRIES,no,393
CRANBERRIES,yes,3
CRANBERRY JUICE (50% AND UNDER,no,814
CRANBERRY JUICE (50% AND UNDER,yes,2
CRANBERRY JUICE (OVER 50% JCE),no,338
CRAZY DAISIES,no,267
CREAM CHEESE,no,30212
CREAM CHEESE,yes,28
CROUTONS,no,1513
CROUTONS,yes,2
CRV DEPOSIT NT/F,no,2
CUBED MEATS,no,2976
CUBED MEATS,yes,3
CUCUMBERS,no,12311
CUCUMBERS,yes,11
CUPS/PUSH UPS/OTHER,no,1947
CUT FRUIT ALL OTHER,no,663
CUT VEGETABLES ALL OTHER,no,3768
CUT VEGETABLES ALL OTHER,yes,3
DAFFODILS,no,18
DAIRY CASE 100% PURE JUICE - O,no,96289
DAIRY CASE 100% PURE JUICE - O,yes,64
DAIRY CASE 100% PURE JUICE OTH,no,6499
DAIRY CASE 100% PURE JUICE OTH,yes,3
